eps,VBM_aligned,CBM_aligned,gap,gap_fit,residual_meV,volume,pressure_GPa,TOTEN,E_fermi,V_avg,sigma_phys,sigma_lin
-0.01,89.04180000000001,89.5587,0.5168999999999997,0.5177213732004432,-0.8213732004435093,38.84,31.637,-5.12207453,6.4138,-82.9,2.889616325406434,2.0611237339360984
-0.005,89.0581,89.6032,0.5451000000000006,0.5451535437430787,-0.05354374307808829,39.43,29.307000000000002,-5.20709197,6.2436,-83.0724,1.699887150785732,1.5305618669680492
-0.002,89.068,89.6301,0.5621,0.56161284606866,0.48715393134002305,39.79,27.972000000000005,-5.2548067,6.1241,-83.1746,1.2364257365661484,1.2122247467872196
0.0,89.0748,89.64789999999999,0.5731000000000002,0.5725857142857143,0.5142857142859114,40.03,27.107,-5.28525277,6.0586,-83.2423,1.0,1.0
0.002,89.0815,89.6656,0.5840999999999994,0.5835585825027685,0.5414174972309116,40.27,26.263,-5.31467174,5.9875,-83.3095,0.8087829057790729,0.7877752532127803
0.005,89.0918,89.6922,0.6003999999999996,0.6000178848283498,0.38211517164976616,40.63,25.032,-5.35688464,5.9576,-83.4097,0.5882743448809375,0.4694381330319508
0.01,89.1092,89.7356,0.6263999999999994,0.6274500553709853,-1.0500553709859028,41.24,23.077,-5.42230112,5.7839,-83.5746,0.3460667048450963,-0.06112373393609838
