quantity,value,unit,source
Stress,"[0.5055629412033605, 0.0, 0.0, 1.2088829292074192, 0.7852502076605951, 0.0, 0.0, 1.0722831912423523, 1.0, 0.0, 0.0, 1.0, 1.168716953684188, 0.0, 0.0, 0.9771265990698996, 1.3010572982978632, 0.0, 0.0, 1.0203068906869546]",Gpa,
Strains,"[0.5620161657793806, 0.0, 0.0, 1.2189919171103096, 0.820251513332874, 0.0, 0.0, 1.089874243333563, 1.0, 0.0, 0.0, 1.0, 1.1440213962482773, 0.0, 0.0, 0.9279893018758616, 1.2729799374896644, 0.0, 0.0, 0.8635100312551679]",Gpa,
beam,"[0.47035702897539994, 0.0, 0.0, 1.2648214855123, 0.7667402595222419, 0.0, 0.0, 1.1166298702388793, 1.0, 0.0, 0.0, 1.0, 1.1764555376173742, 0.0, 0.0, 0.9117722311913131, 1.305983703171689, 0.0, 0.0, 0.8470081484141553]",Gpa,
