eps_xx,Ec_par_al,Ec_perp_al,Ev_al,split,Ev_split,sxx,syy,szz,n_x,n_perp,sigma_xx,sigma_yy,sigma_zz,dRho_par,dRho_perp
-0.01,89.5585,89.64859999999999,89.11089999999999,-0.09009999999999962,0.07050000000000001,-3.5371620000000004,-2.582485,-2.582485,0.4698669729440512,0.015066513527974421,1.2751664869330575,5.008562601139514,5.008562601139514,1.9518476750361504,-0.2484675685433223
-0.005,89.60340000000001,89.6481,89.09280000000001,-0.04469999999999974,0.03530000000000033,-2.717478,-2.237124,-2.237124,0.368151432968955,0.0659242835155225,2.1101357439672155,4.591077972622434,4.591077972622434,0.7838175769017459,-0.18012779304044357
-0.002,89.63010000000001,89.64800000000001,89.08200000000001,-0.017900000000000027,0.014199999999999768,-2.2285,-2.036249,-2.036249,0.2493559784623002,0.12532201076884988,3.08531173391666,4.103489977647712,4.103489977647712,0.22000548222043514,-0.08270831652058885
0.0,89.64789999999999,89.64789999999999,89.0748,0.0,0.0,-1.904685,-1.904685,-1.904685,0.16666666666666666,0.16666666666666666,3.764097229737361,3.7640972297373607,3.7640972297373607,0.0,0.0
0.002,89.66579999999999,89.648,89.08179999999999,0.017799999999999372,0.014100000000000001,-1.581454,-1.775293,-1.775293,0.10041281184745773,0.19979359407627115,4.3079662584775935,3.492162715367245,3.492162715367245,-0.1262472814567568,0.077869943795422
0.005,89.6923,89.6481,89.0923,0.04420000000000002,0.03539999999999921,-1.098017,-1.5850600000000001,-1.5850600000000001,0.041088289993948444,0.2294558550030258,4.794953320120871,3.248669184545607,3.248669184545607,-0.2149877217902767,0.15865821230543276
0.01,89.7362,89.6485,89.11,0.08769999999999989,0.0708000000000002,-0.299213,-1.278493,-1.278493,0.007889875512412606,0.2460550622437937,5.067474662298741,3.1124085134566712,3.1124085134566712,-0.25720452876820765,0.20938405529450166
