quantity,value,unit,source
a,1.8288113695090313,eV,DPT.ipynb
Xi_u,8.893023255813944,eV,DPT.ipynb
|d|,5.462858639366134,eV,DPT.ipynb
eu,"[-0.01, -0.005, -0.002, 0.0, 0.002, 0.005, 0.01]",,DPT.ipynb
su,"[-0.09009999999999962, -0.044800000000000395, -0.017900000000000027, 0.0, 0.017799999999999372, 0.04420000000000002, 0.08769999999999989]",,DPT.ipynb
dEg/dP,-18.661340505194197,eV/GPa,DPT.ipynb
strains,"[-0.01, -0.005, -0.002, 0.0, 0.002, 0.005, 0.01]", ,DPT.ipynb
